barcode,product_name,brands,sugars_100g,fiber_100g,proteins_100g,quantity_grams,sugar_pct_dv,sugar_tier,high_sugar_flag,nutrition_grades,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
3168930010265,cruesly mélange de noix,Quaker,12,10,8.5,450.0,24.0,high,1,b,Aisle 4B,578,0.46153846153846156
3229820160672,Croustillant Chocolat,Bjorg,14,10,9.27,500.0,28.000000000000004,high,1,c,Aisle 2B,958,0.5384615384615385
3229820019307,Flocons d'avoine,Bjorg,1.7,11,11,500.0,3.4000000000000004,low,0,a,Aisle 2B,932,0.06538461538461539
3229820129488,"Muesli Raisin, Figue, Datte, Abricot",Bjorg,14,10,11,375.0,28.000000000000004,high,1,a,Aisle 2B,null,0.5384615384615385
3387390123210,Chocapic,"Nestlé, Chocapic",19.9,7.7,8.5,375.0,39.8,high,1,b, Aisle 3C,547,0.7653846153846153
5010477348678,Special Muesli 30% fruits & noix,Jordans,17,8.8,10,750.0,34.0,high,1,a,,,0.6538461538461539
3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,13,10,12,375.0,26.0,high,1,a,Aisle 2B,1014,0.5
7613036669146,NESTLE CHOCAPIC BIO Céréales - Boite de 375g,"Nestlé, Chocapic",19.9,8.2,9.1,375.0,39.8,high,1,b,Aisle 4B,460,0.7653846153846153
5010029000023,Original,Weetabix,4.2,10,12,430.0,8.4,moderate,0,a,Endcap-South,289,0.16153846153846155
5010477348357,Country Crisp 4 noix,Jordans,18,6.1,11,550.0,36.0,high,1,c, Aisle 3C,276,0.6923076923076923
8410076610737,NATURE VALLEY protein pind&choc.GV,Nature Valley,17.1,10.7,25.6,160.0,34.2,high,1,d,Endcap-South,1108,0.6576923076923078
3159470000120,CORN FLAKES,Kellogg's,8,3,7,500.0,16.0,moderate,0,d,Aisle 2B,261,0.3076923076923077
3229820769165,Muesli avoine chocolat bio,Bjorg,8.2,10,12,375.0,16.4,moderate,0,a,Aisle 2B,894,0.3153846153846154
3168930010906,Cruesli Chocolat noir,Quaker,16,10,8.1,450.0,32.0,high,1,c, Aisle 3C,253,0.6153846153846154
