barcode,shelf_location,units_sold_last_month
3168930010869, Aisle 3C,123
3229820800721,Aisle 2B,90
5010029000016, Aisle 3C,954
5010029000023,Endcap-South,289
3560071407650, Aisle 3C,629
4056489296805, Aisle 3C,517
3159470001424, Aisle 3C,973
3421557501722,Endcap-South,220
5010477348555, Aisle 3C,0
3387390123210, Aisle 3C,547
3229820786599,Aisle 4B,397
3159470005071,Aisle 4B,892
3421557502767,Aisle 1A,134
5053827199667,Aisle 1A, 605 
3229820798110,Endcap-South,455
3387390326574,Endcap-South,233
7613287366665,Aisle 1A,1006
3560071270285,Endcap-South,1009
20621469,Endcap-South,60
5010477348395,Endcap-South,840
3908306758473,Aisle 4B,0
5010477348517,Aisle 1A,732
5010477365378,Aisle 4B,848
5010477360755,Aisle 1A,1159
8410188012092,Endcap-South,null
3229820794556,Endcap-South,0
5050083516313,Aisle 4B,333
3250391896554,Aisle 2B,357
8410076610737,Endcap-South,1108
5900617002983,Aisle 4B,291
8129032294997, Aisle 3C,106
5059319023762, Aisle 3C,323
3421557910203,Aisle 4B,1046
8480000229663,Aisle 2B,
5010477354051,Endcap-South,1184
3256228686558, Aisle 3C,509
6178583547076,Endcap-South,953
8480000156112,Endcap-South,393
3229820802138,Aisle 2B,956
3770008009882,Aisle 4B,null
5010477356277,Aisle 2B,645
3564706624467,Aisle 2B,897
3229820796857,Aisle 1A,829
5010029229110,Endcap-South,1165
3229820804224,Aisle 1A,68
3168930010265,Aisle 4B,578
3387390019995,Aisle 2B,1000
3229820129488,Aisle 2B,null
8480000094742, Aisle 3C,653
8445290114594,Aisle 1A,370
20283360, Aisle 3C,547
0208487855682,Aisle 2B,856
3168930010890,Aisle 2B,889
3111902100037,Aisle 1A,304
5053827175654,Aisle 2B,172
5010477348357, Aisle 3C,276
4763930229065,Endcap-South,276
7613036669146,Aisle 4B,460
4056489300786,Endcap-South,1052
3229820116716,Aisle 1A,
3421557502446,Endcap-South,null
5053827110983, Aisle 3C,661
5050083296079,Aisle 2B,535
8480000095367,Aisle 1A,764
2307035034671,Aisle 2B,240
3159470000120,Aisle 2B,261
3760336830586,Aisle 1A,525
4008713713411,Endcap-South,1033
3229820797861,Aisle 1A,592
3168930003632,Aisle 1A,974
3421557501975,Aisle 1A,199
3421557110313,Endcap-South,939
3229820797946,Aisle 4B,625
3168930009795,Aisle 4B,241
3421557501630, Aisle 3C,1007
3229820769165,Aisle 2B,894
3560071407773, Aisle 3C,240
7613035449626,Aisle 4B,273
40897677,Aisle 2B,454
3229820160672,Aisle 2B,958
4056489687337, Aisle 3C,1020
20003166,Aisle 1A,50
7613032779566,Aisle 4B,1044
5132480315947,Endcap-South,
3168930158158,Aisle 1A,755
5010477365316, Aisle 3C,793
0302038553929,Aisle 4B,942
3560070614202,Aisle 4B,584
3168930010906, Aisle 3C,253
5010477348630,Aisle 4B,735
5053827199568,Aisle 2B,659
3564706604360,Aisle 4B,132
4264489356267,Aisle 1A,376
3229820019307,Aisle 2B,932
4160501711870, Aisle 3C,281
8402001010873,Aisle 4B,782
20159917,Aisle 1A,835
3229820794549,Aisle 2B, 298 
5059319023533,Aisle 2B,78
3229820782560,Aisle 2B,1014
